20150904060149;-56;0.8;3G;-113
20150904061701;-56;0.84;3G;-111
20150904063434;-56;0.89;3G;-109
20150904064943;-56;0.93;3G;-111
20150904070246;-56;0.97;3G;-113
20150904071649;-56;0.99;3G;-105
20150904073851;-56;1.0;3G;-111
20150904074733;-56;1.0;3G;-109
20150904080325;-56;1.0;3G;-113
20150904081649;-56;1.0;3G;-113
20150904083432;-56;1.0;3G;-111
20150904084705;-72;1.0;3G;-97
20150904090246;-71;1.0;3G;-107
20150904091808;-74;1.0;3G;-101
20150904093210;-71;1.0;3G;-113
20150904094655;-69;1.0;3G;-105
20150904100239;-127;1.0;3G;-75
20150904101650;-85;0.99;3G;-93
20150904103153;-127;0.95;3G;-105
20150904104707;-127;0.94;3G;-107
20150904110206;-127;0.93;3G;-113
20150904111723;-127;0.93;3G;-113
20150904113315;-127;0.91;3G;-113
20150904114657;-127;0.91;3G;-113
20150904120207;-127;0.9;3G;-109
20150904121714;-127;0.89;3G;-73
20150904123228;-127;0.87;3G;-83
20150904124735;-127;0.85;2G;-81
20150904130238;-127;0.84;3G;-87
20150904132049;-127;0.84;3G;-93
20150904133247;-127;0.82;3G;-101
20150904134713;-127;0.8;3G;-113
20150904140156;-127;0.79;3G;-113
20150904141653;-127;0.74;3G;-97
20150904143211;-127;0.72;3G;-113
20150904144702;-127;0.71;3G;-109
20150904150225;-127;0.71;3G;-113
20150904151738;-127;0.7;3G;-107
20150904153210;-127;0.68;3G;-127
20150904154657;-127;0.66;3G;-109
20150904160156;-63;0.61;2G;-105
20150904161719;-66;0.57;Unknown;-101
20150904163210;-64;0.51;3G;-113
20150904164652;-64;0.45;3G;-113
20150904170202;-68;0.37;3G;-113
20150904171649;-72;0.31;Unknown;-127
20150904173203;-82;0.25;2G;-97
20150904174649;-45;0.24;3G;-113
20150904180312;-42;0.18;Unknown;-95
20150904181656;-47;0.13;2G;-105
20150904183230;-43;0.07;2G;-103
20150904184738;-51;0.07;Unknown;-105
20150904190305;-45;0.13;2G;-101
20150904191701;-42;0.11;Unknown;-127
20150904193253;-42;0.22;2G;-107
20150904194741;-63;0.23;3G;-113
20150904200211;-72;0.22;3G;-107
